experiment_id,experiment_label,feature_columns,target_transform,model_name,selected_within_configuration,selected_final,cv_rmse_mean,cv_rmse_std,cv_improvement_vs_phase1_percent,folds_better_than_phase1,meaningful_stable_improvement,test_mae,test_rmse,test_r2,test_median_absolute_error,test_within_10_percent,test_within_20_percent,test_within_30_percent,cv_time_seconds,final_training_time_seconds
A_phase1,Phase 1 reproduced,,raw,median_baseline,False,False,159.53837682323928,25.1788883576266,,,,,,,,,,,0.245633689000897,
A_phase1,Phase 1 reproduced,,raw,decision_tree,False,False,153.338231040553,37.54768310345264,,,,,,,,,,,0.2749162010004511,
A_phase1,Phase 1 reproduced,,raw,random_forest,False,False,119.81865563366367,32.42463013811344,,,,,,,,,,,4.13735902100052,
A_phase1,Phase 1 reproduced,,raw,extra_trees,False,False,121.67251132933552,33.82465562568002,,,,,,,,,,,4.500489175999974,
A_phase1,Phase 1 reproduced,,raw,gradient_boosting,False,False,126.7158520081002,33.62923960453027,,,,,,,,,,,3.062868779999917,
A_phase1,Phase 1 reproduced,,raw,hist_gradient_boosting,True,True,117.09755583204523,29.666255438267935,0.0,0,True,72.4945954445611,131.56691443616646,0.2979633330518998,41.233805152043544,0.06306306306306306,0.12612612612612611,0.1891891891891892,3.6206340939988877,2.0216956490003213
A_phase1,Phase 1 reproduced,,log1p,median_baseline,False,False,159.53837682323928,25.1788883576266,,,,,,,,,,,0.2684573200003797,
A_phase1,Phase 1 reproduced,,log1p,decision_tree,False,False,136.79501365906594,32.818256915019695,,,,,,,,,,,0.24608864199944946,
A_phase1,Phase 1 reproduced,,log1p,random_forest,False,False,124.7511728771213,30.92426260442919,,,,,,,,,,,4.054348231000404,
A_phase1,Phase 1 reproduced,,log1p,extra_trees,False,False,124.00321140173048,32.327679888308545,,,,,,,,,,,4.277152135000506,
A_phase1,Phase 1 reproduced,,log1p,gradient_boosting,False,False,128.50921285057908,29.47810234261329,,,,,,,,,,,3.0094312710007216,
A_phase1,Phase 1 reproduced,,log1p,hist_gradient_boosting,True,False,120.7781778910755,30.21563671383832,,,,59.67291748561787,131.6800182536083,0.2967557778323766,29.037801192648956,0.07207207207207207,0.16216216216216217,0.22522522522522523,5.291531987999406,2.550509467999291
B_n_token,Phase 1 + n_token,n_token,raw,median_baseline,False,False,159.53837682323928,25.1788883576266,,,,,,,,,,,0.28020513899900834,
B_n_token,Phase 1 + n_token,n_token,raw,decision_tree,False,False,160.36564153457846,35.82893457271146,,,,,,,,,,,0.26235998699849006,
B_n_token,Phase 1 + n_token,n_token,raw,random_forest,False,False,119.82868571777631,32.77043639885086,,,,,,,,,,,4.586183456000072,
B_n_token,Phase 1 + n_token,n_token,raw,extra_trees,False,False,122.28680384462845,33.741971337499955,,,,,,,,,,,4.908642828999291,
B_n_token,Phase 1 + n_token,n_token,raw,gradient_boosting,False,False,128.29459389939285,33.57602264582426,,,,,,,,,,,3.0740042609995726,
